epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24159,5.322,3.79024,3.97753,0,0,0,0,5.74161,3.50712,6.04591,0,0,0
2,5.77644,5.59598,3.69789,4.15127,0,0,0,0,5.71828,3.50186,5.87132,1.9901e-05,1.9901e-05,1.9901e-05
3,8.53442,5.51757,3.66511,3.72958,0,0,0,0,5.67152,3.49297,5.54776,3.9604e-05,3.9604e-05,3.9604e-05
4,10.7962,5.4988,3.71978,3.38885,0,0,0,0,5.59821,3.48403,5.12124,5.9109e-05,5.9109e-05,5.9109e-05
5,13.2482,5.26874,3.63259,3.2059,0,0,0,0,5.49071,3.48421,4.60478,7.8416e-05,7.8416e-05,7.8416e-05
6,15.9924,5.17185,3.59416,2.71277,0,0,0,0,5.26491,3.50613,3.93883,9.7525e-05,9.7525e-05,9.7525e-05
7,18.4392,4.63259,3.57605,2.33363,0,0,0,0,4.83795,3.54141,3.11298,0.000116436,0.000116436,0.000116436
8,20.9369,4.39991,3.5198,2.11867,0.00048,0.00243,0.00024,2e-05,4.07528,3.58535,2.21241,0.000135149,0.000135149,0.000135149
9,23.1843,4.00045,3.52523,2.14074,0.00048,0.00243,0.00024,2e-05,4.07528,3.58535,2.21241,0.000153664,0.000153664,0.000153664
10,25.5472,3.84643,3.47516,1.87643,0.00571,0.02913,0.00301,0.00062,3.2238,3.60817,1.61725,0.000171981,0.000171981,0.000171981
11,27.9638,3.67232,3.42411,1.90407,0.00571,0.02913,0.00301,0.00062,3.2238,3.60817,1.61725,0.0001901,0.0001901,0.0001901
12,30.5972,3.6345,3.38762,1.62764,0.00667,0.03398,0.00355,0.0006,3.16603,3.60413,1.49165,0.000208021,0.000208021,0.000208021
13,32.8844,3.50709,3.35323,1.55524,0.00667,0.03398,0.00355,0.0006,3.16603,3.60413,1.49165,0.000225744,0.000225744,0.000225744
14,35.2997,3.46828,3.33237,1.59389,0.00286,0.01456,0.0015,0.00034,3.27638,3.5919,1.47923,0.000243269,0.000243269,0.000243269
