epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57341,5.322,3.79024,3.97753,0,0,0,0,5.74161,3.50712,6.04591,0,0,0
2,5.09558,5.59598,3.69789,4.15127,0,0,0,0,5.71822,3.50185,5.87095,1.99505e-05,1.99505e-05,1.99505e-05
3,7.9251,5.51742,3.66508,3.72932,0,0,0,0,5.67116,3.49292,5.54579,3.9802e-05,3.9802e-05,3.9802e-05
4,10.5252,5.49764,3.71964,3.38764,0,0,0,0,5.59719,3.48394,5.11623,5.95545e-05,5.95545e-05,5.95545e-05
5,13.4836,5.26707,3.63237,3.2031,0,0,0,0,5.4885,3.48419,4.59445,7.9208e-05,7.9208e-05,7.9208e-05
6,16.8171,5.16782,3.5936,2.70719,0,0,0,0,5.25753,3.50822,3.9255,9.87625e-05,9.87625e-05,9.87625e-05
7,19.2524,4.62138,3.57499,2.32507,0,0,0,0,4.82597,3.54338,3.09254,0.000118218,0.000118218,0.000118218
8,21.6241,4.38675,3.51792,2.10991,0.00143,0.00728,0.00072,7e-05,4.05688,3.58643,2.19812,0.000137575,0.000137575,0.000137575
9,24.3058,3.99016,3.5222,2.13383,0.00143,0.00728,0.00072,7e-05,4.05688,3.58643,2.19812,0.000156832,0.000156832,0.000156832
10,27.4726,3.82878,3.47283,1.86914,0.00524,0.0267,0.00276,0.0007,3.2309,3.60602,1.61585,0.000175991,0.000175991,0.000175991
11,30.1073,3.66133,3.42072,1.89775,0.00524,0.0267,0.00276,0.0007,3.2309,3.60602,1.61585,0.00019505,0.00019505,0.00019505
12,33.0349,3.61264,3.38271,1.61878,0.00571,0.02913,0.00304,0.0006,3.14663,3.60114,1.47823,0.000214011,0.000214011,0.000214011
13,35.2872,3.48922,3.34459,1.54342,0.00571,0.02913,0.00304,0.0006,3.14663,3.60114,1.47823,0.000232872,0.000232872,0.000232872
14,37.8121,3.45776,3.32434,1.58554,0.00571,0.02913,0.00309,0.00066,3.27134,3.58082,1.46901,0.000251634,0.000251634,0.000251634
15,39.9775,3.40003,3.24285,1.72331,0.00571,0.02913,0.00309,0.00066,3.27134,3.58082,1.46901,0.000270298,0.000270298,0.000270298
16,42.5099,3.21937,3.18614,1.43853,0.00286,0.01456,0.00154,0.00045,3.09654,3.55066,1.41414,0.000288863,0.000288863,0.000288863
17,44.7633,3.02065,3.0248,1.42325,0.00286,0.01456,0.00154,0.00045,3.09654,3.55066,1.41414,0.000307328,0.000307328,0.000307328
18,46.9961,3.05914,3.04979,1.42508,0.00381,0.01942,0.00206,0.00064,2.82629,3.50505,1.33591,0.000325695,0.000325695,0.000325695
19,49.3815,2.89495,2.87718,1.36801,0.00381,0.01942,0.00206,0.00064,2.82629,3.50505,1.33591,0.000343962,0.000343962,0.000343962
20,51.6888,3.00524,2.85903,1.36598,0.01095,0.05583,0.00686,0.00194,2.5946,3.43607,1.27837,0.000362131,0.000362131,0.000362131
21,54.3283,2.93434,2.65266,1.37821,0.01095,0.05583,0.00686,0.00194,2.5946,3.43607,1.27837,0.0003802,0.0003802,0.0003802
22,56.6983,2.92131,2.64594,1.34288,0.03095,0.15777,0.02383,0.00733,2.52915,3.33454,1.27421,0.00039817,0.00039817,0.00039817
23,59.2809,2.94189,2.39473,1.26396,0.03095,0.15777,0.02383,0.00733,2.52915,3.33454,1.27421,0.000416042,0.000416042,0.000416042
24,61.5993,2.91919,2.54091,1.25495,0.03095,0.15777,0.02383,0.00733,2.52915,3.33454,1.27421,0.000433815,0.000433815,0.000433815
25,64.5627,2.90438,2.43039,1.23117,0.09857,0.50243,0.11547,0.03375,2.53104,3.09435,1.24309,0.000451488,0.000451488,0.000451488
26,67.0584,2.75059,2.38001,1.29404,0.09857,0.50243,0.11547,0.03375,2.53104,3.09435,1.24309,0.000469063,0.000469063,0.000469063
27,69.5675,2.79581,2.31919,1.24433,0.09857,0.50243,0.11547,0.03375,2.53104,3.09435,1.24309,0.000486538,0.000486538,0.000486538
28,72.4016,2.98337,2.19892,1.21531,0.12857,0.65534,0.27456,0.07343,2.48299,2.82699,1.20504,0.000503915,0.000503915,0.000503915
29,75.1648,2.48944,2.24548,1.2873,0.12857,0.65534,0.27456,0.07343,2.48299,2.82699,1.20504,0.000521192,0.000521192,0.000521192
30,78.1993,2.87746,2.19873,1.20169,0.12857,0.65534,0.27456,0.07343,2.48299,2.82699,1.20504,0.00053837,0.00053837,0.00053837
31,80.6525,2.67505,2.22744,1.23777,0.13619,0.69417,0.27622,0.07339,2.52905,2.57296,1.2356,0.00055545,0.00055545,0.00055545
